branch_code,branch,target_amount,target_numbers
1000,Head Office,20938119,6
1100, Aber Branch,319301377,139
1200, Kiboga Branch,390000000,181
1500, Gulu branch,274175344,100
1600, Kibale Branch,350000000,202
1700, Wobulenzi Branch,410000000,265
1800, Kamwenge Branch,250000000,166
1900, Kyazanga Branch,380000000,211
2000, Lira Branch,261275803,100
2100, Mbale Branch,290000000,162
2200, Makerere Branch,510000000,226
2300, Mpigi Branch,550000000,335
2400, Masaka Branch,360000000,209
2500, Mukono Branch,395000000,204
2600, Rakai Branch,365000000,221
2700, Soroti Branch,290000000,193
2800, Tororo Branch,326016000,162
2900, Wakiso Branch,390000000,195
3000, Zigoti Branch,310000000,184
3100, Mubende Branch,295000000,177
3300, Moyo Branch,350428060,215
3400, Yumbe Branch,335229073,77
3500,Lamwo Branch,250196000,22
3600, Agago Branch,141016000,44
3700,Iganga Branch,218747323,14
